,complaint_id,date_received,district_occurrence,general_cap_classification,summary,complainant_sex,complainant_race,complainant_age,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
0,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",male,black,20.0,23701040.0,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
1,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",male,black,20.0,86142007.0,white,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
2,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",male,black,20.0,86142007.0,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
3,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",male,black,20.0,23701040.0,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
4,15-0002,2015-01-05,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 8:40pm, they were falsely detained by 19th District officers.",male,black,24.0,,,,,Departmental Violation,No Sustained Findings,Not Applicable
5,15-0003,2015-01-05,1800, LACK OF SERVICE,"According to the complainant, on 1-1-15 at 7:00pm, they were involved in an auto accident and did not receive proper service from 18th District officers.",male,white,45.0,22284833.0,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
6,15-0003,2015-01-05,1800, LACK OF SERVICE,"According to the complainant, on 1-1-15 at 7:00pm, they were involved in an auto accident and did not receive proper service from 18th District officers.",male,white,45.0,53846151.0,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
7,15-0004,2015-01-06,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 2:45am, they were arrested by 39th District officers for DUI and property was missing from their personal vehicle when they were released.",female,black,46.0,39732152.0,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
8,15-0005,2015-01-07,3900, PHYSICAL ABUSE,"According to the complainant, on 1-2-15 at 1:35pm, they were harassed by 39th District officers during a vehicle investigation.",male,black,35.0,97023965.0,white,male,3900 39TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
9,15-0005,2015-01-07,3900, PHYSICAL ABUSE,"According to the complainant, on 1-2-15 at 1:35pm, they were harassed by 39th District officers during a vehicle investigation.",male,black,35.0,97023965.0,white,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
10,15-0006,2015-01-08,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-2-15 at 3:00pm, a detective, assigned to Central Detectives, conducted an improper search of their residence. This incident occurred in the confines of the 25th District.",male,,25.0,84607011.0,white,male,6200 CENTRAL DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
11,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",female,black,20.0,87020570.0,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
12,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",female,black,20.0,87020570.0,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
13,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",female,black,20.0,63727495.0,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
14,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",female,black,20.0,63727495.0,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",female,black,21.0,76749727.0,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
16,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",female,black,21.0,76408807.0,black,male,6003 HOMICIDE UNIT,Lack of Service,No Sustained Findings,Not Applicable
17,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",female,black,21.0,43159715.0,black,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
18,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",female,black,21.0,92841951.0,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
19,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,79755174.0,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
20,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,79755174.0,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
21,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,34298555.0,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
22,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,21874906.0,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
23,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,21874906.0,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
24,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,97503930.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
25,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,97503930.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
26,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,97503930.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
27,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,80784456.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
28,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,80784456.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
29,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",male,white,38.0,80784456.0,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
30,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",female,white,33.0,65283090.0,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
31,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",female,white,33.0,95949708.0,black,male,0600 06TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
32,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",female,white,33.0,95949708.0,black,male,0600 06TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
33,15-0011,2015-01-09,300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-1-15 at 3:30am, they were falsely arrested for domestic assault by officers from the 3rd District.",male,latino,40.0,95869027.0,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
34,15-0011,2015-01-09,300, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-1-15 at 3:30am, they were falsely arrested for domestic assault by officers from the 3rd District.",male,latino,40.0,57627336.0,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
35,15-0012,2015-01-09,1800, SEXUAL CRIME/MISCONDUCT,"According to the complainant, since November 2014, a detective, assigned to Northwest Detectives, has harassed them on multiple occasions and made a sexual advance towards them, which they refused. This incident occurred in the confines of the 18th District.",female,black,30.0,56961633.0,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
36,15-0012,2015-01-09,1800, SEXUAL CRIME/MISCONDUCT,"According to the complainant, since November 2014, a detective, assigned to Northwest Detectives, has harassed them on multiple occasions and made a sexual advance towards them, which they refused. This incident occurred in the confines of the 18th District.",female,black,30.0,56961633.0,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
37,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",male,black,82.0,66761438.0,black,female,1400 14TH DISTRICT,Lack of Service,Sustained Finding,Pending
38,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",male,black,82.0,74065973.0,white,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
39,15-0013,2015-01-12,1400, LACK OF SERVICE,"According to the complainant, on 1-3-15 at 5:10pm, they did not receive proper service from 14th District officers.",male,black,82.0,14171945.0,black,female,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
40,15-0014,2015-01-27,1800, LACK OF SERVICE,"According to the complainant, on 1-13-15 at 10:13pm, they did not receive proper service from officers in the 18th District officers.",female,black,31.0,89823114.0,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
41,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,83925516.0,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
42,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,83925516.0,black,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
43,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,83925516.0,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
44,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,83925516.0,black,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
45,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,32980195.0,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
46,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,32980195.0,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
47,15-0015,2015-01-16,600, DEPARTMENTAL VIOLATIONS,"According to the complainant, in August of 2014, officers in the 6th District, threatened them and did not follow proper police procedures.",male,black,26.0,32980195.0,white,male,0600 06TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
48,15-0016,2015-01-20,3500, VERBAL ABUSE,"According to the complainant, on 1-13-15, around 8:00pm, they were verbally abused by an officer assigned to Highway Patrol. This incident occurred in the confines of the 35th District.",male,black,25.0,90465471.0,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
