,complaint_id,date_received,district_occurrence,general_cap_classification,summary,date_of_complaint,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,num_complaint_rows,complaint_key,sustained_investigative_finding,guilty_disciplinary_finding,training_counseling_or_guilty_disciplinary_finding,complainant_sex,complainant_race,complainant_age
0,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",2014-12-31,23701040.0,white,male,1500 15TH DISTRICT,Departmental Violation,1,"15-0001,23701040.0,Departmental Violation",False,False,False,male,black,20.0
1,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",2014-12-31,86142007.0,white,male,1500 15TH DISTRICT,Departmental Violation,2,"15-0001,86142007.0,Departmental Violation",True,False,True,male,black,20.0
3,15-0001,2015-01-05,1500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 11:15pm, they were falsely detained by 15th District officers.",2014-12-31,23701040.0,white,male,1500 15TH DISTRICT,Verbal Abuse,1,"15-0001,23701040.0,Verbal Abuse",False,False,False,male,black,20.0
5,15-0003,2015-01-05,1800, LACK OF SERVICE,"According to the complainant, on 1-1-15 at 7:00pm, they were involved in an auto accident and did not receive proper service from 18th District officers.",2015-01-01,22284833.0,black,male,1800 18TH DISTRICT,Lack of Service,1,"15-0003,22284833.0,Lack of Service",False,False,False,male,white,45.0
6,15-0003,2015-01-05,1800, LACK OF SERVICE,"According to the complainant, on 1-1-15 at 7:00pm, they were involved in an auto accident and did not receive proper service from 18th District officers.",2015-01-01,53846151.0,white,male,1800 18TH DISTRICT,Lack of Service,1,"15-0003,53846151.0,Lack of Service",False,False,False,male,white,45.0
7,15-0004,2015-01-06,3900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-31-14 at 2:45am, they were arrested by 39th District officers for DUI and property was missing from their personal vehicle when they were released.",2014-12-31,39732152.0,white,male,3900 39TH DISTRICT,Departmental Violation,1,"15-0004,39732152.0,Departmental Violation",False,False,False,female,black,46.0
8,15-0005,2015-01-07,3900, PHYSICAL ABUSE,"According to the complainant, on 1-2-15 at 1:35pm, they were harassed by 39th District officers during a vehicle investigation.",2015-01-02,97023965.0,white,male,3900 39TH DISTRICT,Criminal Allegation,1,"15-0005,97023965.0,Criminal Allegation",False,False,False,male,black,35.0
9,15-0005,2015-01-07,3900, PHYSICAL ABUSE,"According to the complainant, on 1-2-15 at 1:35pm, they were harassed by 39th District officers during a vehicle investigation.",2015-01-02,97023965.0,white,male,3900 39TH DISTRICT,Harassment,1,"15-0005,97023965.0,Harassment",False,False,False,male,black,35.0
10,15-0006,2015-01-08,2500, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-2-15 at 3:00pm, a detective, assigned to Central Detectives, conducted an improper search of their residence. This incident occurred in the confines of the 25th District.",2015-01-02,84607011.0,white,male,6200 CENTRAL DETECTIVES,Departmental Violation,1,"15-0006,84607011.0,Departmental Violation",False,False,False,male,,25.0
11,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",2015-01-05,87020570.0,latino,male,1900 19TH DISTRICT,Departmental Violation,1,"15-0007,87020570.0,Departmental Violation",False,False,False,female,black,20.0
13,15-0007,2015-01-09,1900, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-5-15 at 1:00am, they were treated unprofessionally by 19th District officers.",2015-01-05,63727495.0,white,male,1900 19TH DISTRICT,Departmental Violation,1,"15-0007,63727495.0,Departmental Violation",False,False,False,female,black,20.0
15,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",2014-12-17,76749727.0,white,male,6500 SOUTHWEST DET,Lack of Service,1,"15-0008,76749727.0,Lack of Service",False,False,False,female,black,21.0
16,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",2014-12-17,76408807.0,black,male,6003 HOMICIDE UNIT,Lack of Service,1,"15-0008,76408807.0,Lack of Service",False,False,False,female,black,21.0
17,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",2014-12-17,43159715.0,black,male,1900 19TH DISTRICT,Departmental Violation,1,"15-0008,43159715.0,Departmental Violation",False,False,False,female,black,21.0
18,15-0008,2015-01-08,1800, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-14 at 8:46pm, their sibling was arrested for firearms violations and transported to 55th & Pine Streets. The complaints sibling was found deceased in the cell on 12-18-14, of an apparent suicide. The complainant maintains 18th District personnel did not follow proper procedures and personnel from Southwest Detectives and the Homicide Division have not provided answers to questions they have repeatedly asked about the incident.",2014-12-17,92841951.0,black,male,1800 18TH DISTRICT,Departmental Violation,1,"15-0008,92841951.0,Departmental Violation",False,False,False,female,black,21.0
19,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",2014-05-15,79755174.0,white,male,1500 15TH DISTRICT,Physical Abuse,1,"15-0009,79755174.0,Physical Abuse",False,False,False,male,white,38.0
21,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",2014-05-15,34298555.0,white,male,1500 15TH DISTRICT,Physical Abuse,1,"15-0009,34298555.0,Physical Abuse",False,False,False,male,white,38.0
22,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",2014-05-15,21874906.0,black,male,0200 02ND DISTRICT,Physical Abuse,1,"15-0009,21874906.0,Physical Abuse",False,False,False,male,white,38.0
24,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",2014-05-15,97503930.0,white,male,0200 02ND DISTRICT,Physical Abuse,1,"15-0009,97503930.0,Physical Abuse",False,False,False,male,white,38.0
27,15-0009,2015-01-08,200, PHYSICAL ABUSE,"According to the complainant, on 5-15-14, 10-26-14 and 12-25-14, they were physically abused by police officers assigned to the 2nd District at their residence.",2014-05-15,80784456.0,white,male,0200 02ND DISTRICT,Physical Abuse,1,"15-0009,80784456.0,Physical Abuse",False,False,False,male,white,38.0
30,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",2015-01-01,65283090.0,black,male,0600 06TH DISTRICT,Departmental Violation,1,"15-0010,65283090.0,Departmental Violation",False,False,False,female,white,33.0
31,15-0010,2015-01-09,600, UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-1-15 at 11:00pm, they were verbally abused by unknown officers from the 6th District and issued a parking citation.",2015-01-01,95949708.0,black,male,0600 06TH DISTRICT,Unprofessional Conduct,1,"15-0010,95949708.0,Unprofessional Conduct",False,False,False,female,white,33.0
