complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
15-0001,23701040,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0001,86142007,white,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
15-0001,86142007,white,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0001,23701040,white,male,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0002,,,,,Departmental Violation,No Sustained Findings,Not Applicable
15-0003,22284833,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0003,53846151,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
15-0004,39732152,white,male,3900 39TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0005,97023965,white,male,3900 39TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
15-0005,97023965,white,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
15-0006,84607011,white,male,6200 CENTRAL DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,87020570,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,87020570,latino,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,63727495,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0007,63727495,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0008,76749727,white,male,6500 SOUTHWEST DET,Lack of Service,No Sustained Findings,Not Applicable
15-0008,76408807,black,male,6003 HOMICIDE UNIT,Lack of Service,No Sustained Findings,Not Applicable
15-0008,43159715,black,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0008,92841951,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0009,79755174,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,79755174,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,34298555,white,male,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,21874906,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,21874906,black,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,97503930,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0009,80784456,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
15-0010,65283090,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0010,95949708,black,male,0600 06TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
15-0010,95949708,black,male,0600 06TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
15-0011,95869027,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0011,57627336,white,female,0300 03RD DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
15-0012,56961633,white,male,6600 NORTHWEST DETECTIVE,Sexual Crime/Misconduct,No Sustained Findings,Not Applicable
